stop_id,stop_code,stop_name,stop_lat,stop_lon
54,9861,"Colorado Blvd & Madison Ave",34.145964,-118.138772
55,9847,"Colorado Blvd & El Molino Ave",34.145972,-118.137280
56,9865,"Colorado Blvd & Oak Knoll Ave",34.145981,-118.135544
57,9854,"Colorado Blvd & Hudson Ave",34.146001,-118.134244
58,3664,"Colorado Blvd & Lake Ave",34.145985,-118.133188
69,85,"Allen Ave & Colorado Blvd",34.146446,-118.113030
80,140940,"Sierra Madre Villa Station",34.148656,-118.081509
81,1009,"Del Mar Blvd & Madre St",34.142318,-118.081881
82,1382,"Del Mar Blvd & Kinneloa Ave",34.142299,-118.085403
83,9908,"Del Mar Blvd & Kinneloa Ave",34.142128,-118.085090
84,1379,"Del Mar Blvd & El Nido Ave",34.142273,-118.089759
85,9906,"Del Mar Blvd & El Nido Ave",34.142104,-118.089501
86,1377,"Del Mar Blvd & Eastern Ave",34.142251,-118.092110
87,9904,"Del Mar Blvd & Eastern Ave",34.142093,-118.091496
88,1385,"Del Mar Blvd & San Gabriel Blvd",34.142234,-118.095052
91,9912,"Del Mar Blvd & San Gabriel Blvd",34.142071,-118.094819
92,9899,"Del Mar Blvd & Altadena Dr",34.142044,-118.098419
93,1372,"Del Mar Blvd & Altadena Dr",34.142198,-118.099132
94,9914,"Del Mar Blvd & Sierra Madre Blvd",34.142031,-118.101170
95,1387,"Del Mar Blvd & Sierra Madre Blvd",34.142213,-118.102094
96,1370,"Del Mar Blvd & Grand Oaks Ave",34.142206,-118.104361
97,9897,"Del Mar Blvd & Bonita Ave",34.142041,-118.104012
98,1376,"Del Mar Blvd & Craig Ave",34.142164,-118.106006
99,9903,"Del Mar Blvd & Craig Ave",34.141941,-118.106330
100,1373,"Del Mar Blvd & Berkeley Ave",34.142055,-118.109844
101,9900,"Del Mar Blvd & Berkeley Ave",34.141897,-118.109162
102,18,"Allen Ave & Del Mar Blvd",34.142433,-118.113075
103,1371,"Del Mar Blvd & Allen Ave",34.142054,-118.113503
104,9898,"Del Mar Blvd & Allen Ave",34.141903,-118.112791
105,9901,"Del Mar Blvd & Bonnie Ave",34.141843,-118.115736
106,27,"Del Mar Blvd & Bonnie Ave",34.142021,-118.115333
108,1386,"Del Mar Blvd & Sierra Bonita Ave",34.141989,-118.117774
109,1380,"Del Mar Blvd & Hill Ave",34.141823,-118.121735
111,9544,"Del Mar Blvd & Hill Ave",34.141706,-118.121513
112,9902,"Del Mar Blvd & Chester Ave",34.140993,-118.124163
113,1375,"Del Mar Blvd & Chester Ave",34.141050,-118.124800
114,1388,"Del Mar Blvd & Wilson Ave",34.141049,-118.127721
115,9915,"Del Mar Blvd & Wilson Ave",34.140870,-118.127671
116,1384,"Del Mar Blvd & Mentor Ave",34.141010,-118.130718
117,9911,"Del Mar Blvd & Mentor Ave",34.140845,-118.130490
119,13679,"Lake Ave & Del Mar Blvd",34.140178,-118.132429
120,9909,"Del Mar Blvd & Lake Ave",34.140677,-118.131949
121,5232,"Lake Ave & Del Mar Blvd",34.141171,-118.132212
122,5230,"Lake Ave & Cordova St",34.142871,-118.132217
134,3685,"Lincoln Ave & Woodbury Rd",34.182527,-118.159586
136,2976,"Lincoln Ave & Montana St",34.181093,-118.159586
137,2979,"Lincoln Ave & Wyoming St",34.179210,-118.159574
140,11458,"Lincoln Ave & Idaho St",34.176852,-118.159553
142,2974,"Lincoln Ave & Howard St",34.173410,-118.159497
145,11468,"Lincoln Ave & Washington Blvd",34.170698,-118.159492
146,233,"Woodbury Rd & Glenrose Ave",34.182896,-118.154642
147,11979,"Fair Oaks Ave & Woodbury Rd",34.182796,-118.150935
148,11978,"Fair Oaks Ave & Woodbury Rd",34.182892,-118.150668
149,11971,"Fair Oaks Ave & Montana St",34.180610,-118.150876
150,3481,"Fair Oaks Ave & Montana St",34.181105,-118.150690
151,3485,"Fair Oaks Ave & Tremont St",34.178181,-118.150671
152,11975,"Fair Oaks Ave & Tremont St",34.177744,-118.150847
153,1849,"Fair Oaks Ave & Penn St",34.174757,-118.150646
154,10402,"Fair Oaks Ave & Penn St",34.174221,-118.150814
155,3475,"Fair Oaks Ave & Howard St",34.172734,-118.150626
156,11967,"Fair Oaks Ave & Howard St",34.172161,-118.150801
157,1851,"Fair Oaks Ave & Washington Blvd",34.169172,-118.150600
158,3488,"Fair Oaks Ave & Washington Blvd",34.168456,-118.150784
159,16519,"Washington Blvd & Navarro Ave",34.168904,-118.153971
162,16447,"Washington Blvd & Fair Oaks Ave",34.168924,-118.151240
163,9377,"Washington Blvd & Fair Oaks Ave",34.168771,-118.149895
164,10280,"Washington Blvd & Marengo Ave",34.168953,-118.146416
165,1725,"Washington Blvd &  Marengo Ave",34.168802,-118.145806
167,10278,"Washington Blvd & Los Robles Ave",34.169031,-118.141914
169,1723,"Washington Blvd & Los Robles Ave",34.168857,-118.141186
182,1735,"Woodbury Rd & Santa Anita Ave",34.181873,-118.142564
183,162,"Woodbury Rd & Marengo Ave",34.183143,-118.145408
184,163,"Woodbury Rd & Raymond Ave",34.183348,-118.149098
185,52,"Woodbury Rd & Marengo Ave",34.183109,-118.146074
186,53,"Woodbury Rd & Los Robles Ave",34.180996,-118.141251
187,160,"Woodbury Rd & El Molino Ave",34.179435,-118.137324
188,54,"Woodbury Rd & El Molino Ave",34.179039,-118.136687
189,9687,"Woodbury Rd & Lake Ave",34.177466,-118.132958
190,12169,"Lake Ave & Woodbury Rd",34.176774,-118.132022
193,3676,"Lake Ave & Elizabeth St",34.173572,-118.131944
194,12170,"Lake Ave & Elizabeth St",34.173316,-118.132172
195,3666,"Lake Ave & Howard St",34.172309,-118.131997
196,12158,"Lake Ave & Howard St",34.171941,-118.132230
197,3679,"Lake Ave & Rio Grande St",34.170910,-118.132057
198,12173,"Lake Ave & Rio Grande St",34.170338,-118.132310
199,2800,"Lake Ave & Washington Blvd",34.169318,-118.132107
200,10277,"Washington Blvd & Lake Ave",34.169067,-118.131871
201,1722,"Washington Blvd & Lake Ave",34.168913,-118.131784
202,11290,"Lake Ave & Washington Blvd",34.168457,-118.132393
203,8242,"Washington Blvd & Hudson St",34.168873,-118.133345
204,16518,"Washington Blvd & Hudson Ave",34.169051,-118.133872
205,10275,"Washington Blvd & El Molino Ave",34.169024,-118.136975
206,1720,"Washington Blvd & El Molino Ave",34.168881,-118.136819
207,12157,"Lake Ave & Claremont St",34.166680,-118.132481
208,12154,"Lake Ave & Belvidere St",34.163903,-118.132600
209,12162,"Lake Ave & Mountain St",34.161324,-118.132635
210,12155,"Lake Ave & Boylston St",34.159587,-118.132613
211,12164,"Lake Ave & Orange Grove Blvd",34.157458,-118.132599
212,12174,"Lake Ave & Santa Barbara St",34.155316,-118.132576
213,266,"Villa St & Lake Ave",34.154334,-118.133430
214,12166,"Lake Ave & Villa St",34.154020,-118.132567
216,12159,"Lake Ave & Corson St",34.151370,-118.132535
217,12167,"Lake Ave & Walnut St",34.149058,-118.132521
218,3673,"Lake Ave & Walnut St",34.150041,-118.132287
220,9613,"Villa St & Lake Ave",34.154251,-118.132005
221,9676,"Villa St & Lake Ave",34.154343,-118.132154
222,3672,"Lake Ave & Villa St",34.154598,-118.132320
223,3680,"Lake Ave & Santa Barbara St",34.155785,-118.132332
224,3670,"Lake Ave & Orange Grove Blvd",34.158145,-118.132356
225,3661,"Lake Ave & Boylston St",34.159705,-118.132371
226,3669,"Lake Ave & Mountain St",34.161321,-118.132382
227,3660,"Lake Ave & Belvidere St",34.164020,-118.132350
228,3663,"Lake Ave & Claremont St",34.167246,-118.132222
229,242,"Sierra Madre Villa Ave & Alameda St",34.153529,-118.082186
230,176163,"Sierra Madre Villa Ave & Rosemead Blvd",34.157438,-118.081543
232,176161,"Sierra Madre Villa Ave & Orange Grove Ave",34.158427,-118.081598
233,176164,"Sierra Madre Villa Ave & Primavera St",34.160215,-118.081144
234,176160,"Sierra Madre Villa Ave & Primavera St",34.160197,-118.081390
239,1628,"Sierra Madre Blvd & Hastings Ranch Dr",34.161530,-118.072398
242,9594,"Sierra Madre Blvd & Michillinda Ave",34.162000,-118.068852
249,1441,"Foothill Blvd & Rosemead Blvd",34.150309,-118.073884
251,295,"Foothill Blvd Between Rosemead Blvd & Halstead St",34.150266,-118.075817
253,3589,"Foothill Blvd & Halstead St",34.150036,-118.079052
255,3856,"Rosemead Blvd & Halstead St",34.154996,-118.078692
256,12332,"Rosemead Blvd & Greenhill Rd",34.155195,-118.078538
257,292,"Rosemead Blvd Between Hastings Ranch & Halstead St",34.153750,-118.077785
258,293,"Rosemead Blvd & Hastings Ranch Dr",34.151648,-118.074209
259,9541,"Rosemead Blvd & Foothill & Hastings Ranch Dr",34.150979,-118.073401
260,360,"Hastings Ranch Dr & Sears Way",34.152250,-118.073494
261,370,"Hastings Ranch Dr & Hampton Rd",34.153226,-118.073144
262,361,"Hastings Ranch Dr & Hampton Rd",34.153725,-118.072724
263,362,"Hastings Ranch Dr & Fairmeade Rd",34.155378,-118.072412
264,369,"Hastings Ranch Dr & Fairmeade Rd",34.155368,-118.072553
265,368,"Hastings Ranch Dr & Shadow Grove Rd",34.157505,-118.073065
266,363,"Hastings Ranch Dr & Shadow Grove Rd",34.157527,-118.072926
267,367,"Hastings Ranch Dr & Sierra Madre Blvd",34.161303,-118.072806
269,240,"New York Dr & Sierra Madre Villa Ave",34.162441,-118.081692
270,408,"Sierra Madre Villa Ave & Sierra Madre Blvd",34.162102,-118.081109
271,9517,"New York Dr & Bradley St",34.167747,-118.087229
272,9516,"New York Dr & Bradley St",34.167189,-118.086908
